File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
K-Oracle/200922-1017-61.lg, Incorrect,10,2,8,0,8,0.11281145570796768,23,506,0,4,4,21,0,0,17,17,0,11,11,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-62.lg, Incorrect,28,4,24,2,22,0.191606144366638,24,552,0,12,11,20,2,1,15,15,0,8,8,7,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-65.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-66.lg, Incorrect,21,3,18,0,18,0.15547005383792514,25,600,0,9,9,22,0,0,16,16,0,9,9,7,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-67.lg, Incorrect,11,1,10,0,10,0.15691609682128768,16,240,0,5,5,15,0,0,8,8,0,5,5,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-68.lg, Incorrect,16,2,14,0,14,0.2325191130274573,14,182,0,7,7,12,0,0,8,8,0,3,3,5,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-69.lg, Correct,0,0,0,0,0,0.0,5,20,0,0,0,5,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-6.lg, Incorrect,26,4,22,0,22,0.21607129956441798,21,420,0,11,11,17,0,0,15,15,0,6,6,9,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-72.lg, Correct,0,0,0,0,0,0.0,18,306,0,0,0,18,0,0,11,11,0,11,11,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-73.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-74.lg, Incorrect,5,1,4,0,4,0.3648090636666386,5,20,0,2,2,4,0,0,4,4,0,1,1,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-75.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-77.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-78.lg, Incorrect,10,2,8,0,8,0.16338279055670357,16,240,0,4,4,14,0,0,11,11,0,5,5,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-79.lg, Incorrect,10,2,8,0,8,0.16338279055670357,16,240,0,4,4,14,0,0,11,11,0,5,5,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-7.lg, Incorrect,10,2,8,0,8,0.24039269059625848,11,110,0,4,4,9,0,0,8,8,0,2,2,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-80.lg, Correct,0,0,0,0,0,0.0,8,56,0,0,0,8,0,0,6,6,0,6,6,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-81.lg, Incorrect,5,1,4,0,4,0.21984082794161627,8,56,0,2,2,7,0,0,6,6,0,3,3,3,0,0,0,0,0,1,1,0
